ID1	APPLY_P_00	APPLY_P_01	APPLY_P_02	APPLY_P_03	APPLY_P_04	APPLY_P_05	APPLY_P_06	APPLY_P_07	APPLY_P_08	APPLY_P_09	APPLY_P_10	APPLY_P_11	APPLY_P_12	APPLY_P_13	APPLY_P_14	APPLY_P_15	APPLY_P_16	APPLY_P_17	APPLY_P_18	APPLY_P_19	APPLY_U_00	APPLY_U_01	APPLY_U_02	APPLY_U_03	APPLY_U_04	APPLY_U_05	APPLY_U_06	APPLY_U_07	APPLY_U_08	APPLY_U_09	APPLY_U_10	APPLY_U_11	APPLY_U_12	APPLY_U_13	APPLY_U_14	APPLY_U_15	APPLY_U_16	APPLY_U_17	APPLY_U_18	APPLY_U_19	APPLY_D_00	APPLY_D_01	APPLY_D_02	APPLY_D_03	APPLY_D_04	APPLY_D_05	APPLY_D_06	APPLY_D_07	APPLY_D_08	APPLY_D_09	APPLY_D_10	APPLY_D_11	APPLY_D_12	APPLY_D_13	APPLY_D_14	APPLY_D_15	APPLY_D_16	APPLY_D_17	APPLY_D_18	APPLY_D_19	REGISTER_P_00	REGISTER_P_01	REGISTER_P_02	REGISTER_P_03	REGISTER_P_04	REGISTER_P_05	REGISTER_P_06	REGISTER_P_07	REGISTER_P_08	REGISTER_P_09	REGISTER_P_10	REGISTER_P_11	REGISTER_P_12	REGISTER_P_13	REGISTER_P_14	REGISTER_P_15	REGISTER_P_16	REGISTER_P_17	REGISTER_P_18	REGISTER_P_19	REGISTER_U_00	REGISTER_U_01	REGISTER_U_02	REGISTER_U_03	REGISTER_U_04	REGISTER_U_05	REGISTER_U_06	REGISTER_U_07	REGISTER_U_08	REGISTER_U_09	REGISTER_U_10	REGISTER_U_11	REGISTER_U_12	REGISTER_U_13	REGISTER_U_14	REGISTER_U_15	REGISTER_U_16	REGISTER_U_17	REGISTER_U_18	REGISTER_U_19	REGISTER_D_00	REGISTER_D_01	REGISTER_D_02	REGISTER_D_03	REGISTER_D_04	REGISTER_D_05	REGISTER_D_06	REGISTER_D_07	REGISTER_D_08	REGISTER_D_09	REGISTER_D_10	REGISTER_D_11	REGISTER_D_12	REGISTER_D_13	REGISTER_D_14	REGISTER_D_15	REGISTER_D_16	REGISTER_D_17	REGISTER_D_18	REGISTER_D_19
1	3	7		2	12		13	20				3	3	2	1	2					2	1																																									1	1					12	5			6	1		6					2	1																																						
2	1	4	3	1			1	2		1		1		2	3	1	1																								5			1	3			2		1	1	8			4	4		5		6			1	1	3	2		1			1		1	1	1		1																								3			1	2			2		1		9			4	2		4		8
4	1								2											3																																																												3																																								
5																1																																																									1																																															
6	2				1	2		1	1	2	1		1	1						5																																				5	13	4						1				1				1								4																																					12	6		
7	4	5	4	16	9	2	2	24	18	4	2	8	4	4		2	3	10	4	5				1																			1	1				31	3									1	9							4	12	8	2	7	10	5	1	2		2	1		4	1					1																			2					34									1	9	
8	1	2			2	2	1		3	7	7	3	3	2	1	1	2		2						1			1																1	2					6		5					6	1						1	1		3		2			1	12	3	1	3		2	2	1					1																			1		2				4	2	5					6	1		
9		6	1	1		22	4	5	1	4	31	2	3	3	5	15	3	7	5	11	5	41	1		26	14	8		1																															1			2	3	3	1	18	9	3	2	5	10	4	2	1	3	10	9	5	9	2	22	36	1	26	13	9																																	1
10			3		4	6	5	9	13	11	25	81	41	32	67	35	28	18	12	24								4	5	30	7	5			3				1				1				2	9	4	13	10	4	16	12	27	15	1						2			3	7	5	1	4	11	7	5	40	22	1	3	3	12	11	2									2	3	11	2	2	6	3			1		1			1				4	10	1	7	5	10	19	16	29	5			
11									1																																																																																																															
12											2					2	3	1																							8	4	5	4	1	1	2		1	1	1					1															1		1				1																								5	7	5	5	2	2	2			1		2				1				
13								4																																																													3																																																			
14	1			1	4	7	10	2	7	9	8	7	6	8	6								2	3	5	3	2		2																2	2	5				1		5										1			2	9	5	6		2	8	8	4	8								1	3	6	3		1	1		1	1														2	2	5					1	3						
15																																																																																																																								
16					4																																																														1																																																					
18	55	68	53	56	49	49	19	2					4								5		8	11	6	10	6														83	145	122	129	111	145	152	92							2			1			40	41	42	39	76	83	81	55						1							6	5	8	11	7	7	8														73	95	114	154	133	128	127	156								2		1		
19			4			1	1			4		1		1		4	5	12	6	1																																										1			1	3		1			1	1	1				2	1	6	2																																								
20		3	1						4	1	1	2	4	1	5	18	13	13	11	3																																						1							2							5	3	1	3	1	2	12	11	15																																						1		
22											1	1	7	10	17	17	4		1	1																																																			1		1	5	6	5	13	7	1																																									
