W5_id1	W5_id2	W5_id3	W5_id4	W5_ind1	W5_team	W5_posit	W501_01	W501_02	W502_01	W502_02	W503_01	W503_02	W504	W505_01	W505_02	W506_01	W506_02	W506_03	W506_04	W506_05	W506_06	W506_07	W506_08	W507	W508_01	W508_02	W508_03	W508_04	W508_05	W508_06	W508_07	W508_08	W508_09	W508_10	W508_11	W508_12	W508_13	W508_14	W508_15	W509_01	W509_02	W509_03	W509_04	W509_05	W509_06	W509_07	W509_08	W510_01	W510_02	W510_03	W510_04	W510_05	W510_06	W510_07	W510_08	W510_09	W511_01	W511_02	W511_03	W511_04	W511_05	W511_06	W511_07	W511_08	W511_09	W511_10	W511_11	W511_12	W511_13	W511_14	W511_15	W511_16	W511_17	W511_18	W512_01	W512_02	W513_01	W513_02	W513_03	W513_04	W513_05	W513_06	W513_07	W513_08	W513_09	W513_10	W513_11	W513_12	W513_13	W513_14	W514	W515_01	W515_02	W515_03	W515_04	W515_05	W515_06	W516_01	W516_02	W516_03	W516_04	W516_05	W516_06	W516_07	W516_08	W516_09	W516_10	W516_11	W516_12	W516_13	W516_14	W516_15	W516_16	W516_17	W516_18	W516_19	W516_20	W516_21	W516_22	W516_23	W516_24	W517_01	W517_02	W517_03	W517_04	W517_05	W517_06	W517_07	W517_08	W518	W519	W520_01	W520_02	W521	W522_01	W522_02	W522_03	W522_04	W522_05	W522_06	W522_07	W523	W524	W525	W526_01	W526_02	W526_03	W526_04	W526_05	W526_06	W527_01	W527_02	W527_03	W527_04	W527_05	W527_06	W527_07	W527_08	W528_01	W528_02	W528_03	W529_01	W529_02	W529_03	W529_04	W529_05	W529_06	W530_01	W530_02	W530_03	W530_04	W530_05	W530_06	W530_07	W530_08	W530_09	W530_10	W530_11	W530_12	W531_01	W531_02	W531_03	W531_04	W532_01	W532_02	W532_03	W532_04	W532_05	W532_06	W532_07	W533_01	W533_02	W533_03	W533_04	W534_01	W534_02	W534_03	W534_04	W534_05	W534_06	W535	W536	W537	W538_01	W538_02	W539_01	W539_02	W5_sex	W5_birthy	W5_birthm	W5_marr	W5_edu	W5_affil
1	0	101	0	1	1	1	1995	11	2012	1	1	5	103	1996	6	4	4	3	3	3	3	4	4	2	5	3	5	5	5	2	3	4	4	4	4	3	2	5	3	2	4	4	4	4				2																											2	2	1	3	1	3	2		2		2		2		2		2	2	4	4	4	4	3	3	3	2		2		2		2		2		2		2		2		2		1	2	2		2		2		2		2		3				2								2	2	1	4	4	3	4	4	4									3	3	2	4	4	4	4	2	4	3	2	3	4	4	4	4	4	3	2	3	2	4	3	4	4	2	4	2	4	4	4	4											1		2	40	0	5500		1	69	6	2	6	3
1	0	101	1	1	1	3	2011	12	2011	12	1	1	103	2011	12	2	2	4	4	2	2	5	4																									2																											3	1	1	4	1	4	1	2	2		2		2		2		8	4	4	3	4	4	4	3	4	2		2		2		2		2		2		2		2		2		1	4	2		2		2		2		2		2				2								2	2	2															3	2	3	3	2	4	4	3	4	3	2	2	4	4	3	4	4	4	3	4	3	4	4	4	4	2	4	2	4	2	2	3											1	2	2	40	10	3500		1	83	4	1	7	3
1	0	101	2	1	1	3	2012	7	2012	7	1	1	103	2012	7	4	3	3	4	3	3	3	3																									2																											2	6	1	3	2		1	3	2		2		2		2		6	4	4	3	3	3	3	2	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2				2								2	2	3															4	3	3	2	3	3	3	3	3	3	3	3	4	3	4	4	3	3	4	3	4	4	4	3	3	3	3	3	4	4	3	3											1	2	2	40	0	2300		2	86	8	1	6	2
1	0	201	0	1	1	1	2012	9	2012	9	5	5	202	2012	9	4	4	3	3	4	3	4	4	5	3	3	3	3	3	3	5	4	5	4	3	3	3	5	5	3	4	4	4	4				1	401	13	0	1	308	6	0	1	2																		4	1	1	2	2		2		2		2		2		2		2	2	3	3	3	3	3	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	3	1	4	4	4	4	4	4									4	4	5	5	5	5	5	4	5	4	4	3	4	5	5	4	3	3	2	4	4	4	4	4	4	2	4	4	4	2	4	4											1		2	40	0		540	1	65	8	2	3	
1	0	201	1	1	1	3	2005	11	2005	11	1	1	202	2005	11	4	4	3	3	3	3	4	4																									1	202	1	7	2					2																		4	1	1	4	1	3	2		2		2		2		2		3	4	2	4	3	4	5	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	2	3															4	4	4	3	4	4	4	3	4	4	4	3	4	4	4	4	3	4	4	3	4	4	4	4	4	2	4	4	4	4	4	4											1	2	2	40	0	3900		2	83	7	2	5	4
1	0	201	2	1	1	3	2008	8	2013	3	3	4	202	2012	4	3	4	4	4	4	3	4	5																									1	306	8	0	2	202	6	0	2	2																		1	1	2		2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								4	2	1															3	3	3	3	4	4	4	3	3	3	3	3	4	4	3	4	4	4	3	4	3	4	3	4	4	1	5	5	5	3	4	5											1	2	2	40	0	4500		1	67	7	2	3	
1	0	321	0	1	1	1	1992	8	2011	1	1	5	302	1992	8	3	4	4	3	3	3	4	4	2	5	4	4	5	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	4				2																											1	1	1	3	1	3	1	3	2		2		2		2		3	3	3	3	4	4	4	4	4	2		2		2		2		1	4	2		2		2		2		2		2		1	3	2		2		2		1				2								3	2	1	5	5	4	5	4	5									4	5	4	3	4	5	5	4	5	4	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4	3	4	3	5	2	3	3											1		2	40	10		580	1	68	7	2	6	2
1	0	321	1	1	1	3	2011	8	2011	8	3	3	308	2011	8	4	4	4	4	4	4	4	4																									2																											4	1	1	2	1	3	1	2	2		2		2		2		3	3	3	3	3	3	3	4	4	2		2		2		2		1	4	2		2		2		2		2		2		1	2	2		2		2		1				2								3	2	2															4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	2	4	2	4	2	4	3											1	2	2	40	10	4000		1	84	2	2	6	2
1	0	321	2	1	1	3	1997	2	1997	2	1	1	303	1997	2	3	3	4	4	3	3	4	4																									2																											3	3	1	3	1	3	1	2	2		2		2		2		3	2	2	2	2	2	2	3	3	2		2		2		2		2		2		2		2		2		2		2		1	2	2		2		2		1				2								3	3	2															4	4	4	3	3	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	4	5	5	5	5	1	4	2	4	2	2	3											1	2	2	40	5	5200		2	78	7	1	7	1
1	0	321	3	1	1	3	2013	7	2013	7	1	1	306	2013	7	4	3	3	3	4	4	4	4																									1	302	2	7	3					2																		4	5	1	3	2		2		2		2		2		2		3	4	4	3	4	4	4	3	3	2		2		2		2		1	3	1	2	2		2		2		2		2		2		2		2		2		4				2								2	3	2															4	4	3	4	4	4	4	3	3	2	2	2	4	4	4	4	3	4	3	4	3	4	4	4	4	2	3	3	4	4	3	4											1	2	2	40	0		180	2	86	11	1	6	1
