W6_id1	W6_id2	W6_id3	W6_id4	W6_ind1	W6_team	W6_posit	W601_01	W601_02	W602_01	W602_02	W603_01	W603_02	W604	W605_01	W605_02	W606_01	W606_02	W606_03	W606_04	W606_05	W606_06	W606_07	W606_08	W607	W608_01	W608_02	W608_03	W608_04	W608_05	W608_06	W608_07	W608_08	W608_09	W608_10	W608_11	W608_12	W608_13	W608_14	W608_15	W609_01	W609_02	W609_03	W609_04	W609_05	W609_06	W609_07	W609_08	W610_01	W610_02	W610_03	W610_04	W610_05	W610_06	W610_07	W610_08	W610_09	W610_10	W610_11	W610_12	W610_13	W610_14	W611	W612_01	W612_02	W612_03	W612_04	W612_05	W612_06	W613_01	W613_02	W613_03	W613_04	W613_05	W613_06	W613_07	W613_08	W613_09	W613_10	W613_11	W613_12	W613_13	W613_14	W613_15	W613_16	W613_17	W613_18	W613_19	W613_20	W613_21	W613_22	W613_23	W613_24	W614_01	W614_02	W614_03	W614_04	W614_05	W614_06	W614_07	W614_08	W615	W616	W617_01	W617_02	W618	W619_01	W619_02	W619_03	W619_04	W619_05	W619_06	W619_07	W620	W621	W622	W623_01	W623_02	W623_03	W623_04	W623_05	W623_06	W624_01	W624_02	W624_03	W624_04	W624_05	W624_06	W624_07	W624_08	W625_01	W625_02	W625_03	W625_04	W626_01	W626_02	W626_03	W626_04	W626_05	W626_06	W627_01	W627_02	W627_03	W627_04	W627_05	W627_06	W627_07	W627_08	W627_09	W627_10	W627_11	W627_12	W628_01	W628_02	W628_03	W628_04	W629_01	W629_02	W629_03	W629_04	W629_05	W629_06	W629_07	W630_01	W630_02	W630_03	W630_04	W631_01	W631_02	W631_03	W631_04	W631_05	W631_06	W632	W633	W634	W635_01	W635_02	W636_01	W636_02	W6_sex	W6_birthy	W6_birthm	W6_marr	W6_edu	W6_affil
1	0	101	0	1	1	1	1995	11	2012	1	1	5	103	1996	6	4	4	3	3	3	3	4	4	2	5	3	5	5	5	2	3	4	4	4	4	3	2	5	3	2	4	4	4	4				1	3	1	3	2		2		2		2		1	3	2	2	4	4	4	4	3	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		3				2								2	2	1	4	4	3	4	4	4									3	3	2	3	4	4	4	4	2	4	3	2	3	4	4	4	4	4	3	2	3	2	4	3	4	4	2	4	2	4	4	4	4											1		2	40	0	5500		1	69	6	2	6	3
1	0	101	2	1	1	3	2012	7	2012	7	1	1	103	2012	7	4	3	3	4	3	3	3	3																									1	3	2		1	3	2		2		2		2		6	4	4	3	3	3	3	2	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2				2								2	2	3															4	3	3	3	2	3	3	3	3	3	3	3	3	4	3	4	4	3	3	4	3	4	4	4	3	3	3	3	3	4	4	3	3											1	2	2	40	0	2300		2	86	8	1	6	2
1	0	201	0	1	1	1	2012	9	2012	9	5	5	202	2012	9	4	4	3	3	4	3	4	4	5	3	3	3	3	3	3	5	4	5	4	3	3	3	5	5	3	4	4	4	4				1	2	2		2		2		2		2		2		2	2	3	3	3	3	3	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	3	1	4	4	4	4	4	4									4	4	5	4	5	5	5	5	4	5	4	4	3	4	5	5	4	3	3	2	4	4	4	4	4	4	2	4	4	4	2	4	4											1		2	40	0	6480		1	65	8	2	3	
1	0	201	1	1	1	3	2008	8	2013	3	3	4	202	2012	4	3	4	4	4	4	3	4	5																									2		2		2		2		2		2		2		1	2	2	2	2	2	2	2	1	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								4	2	1															3	3	3	-9	3	4	4	4	3	3	3	3	3	4	4	3	4	4	4	3	4	3	4	3	4	4	1	5	5	5	3	4	5											1	2	2	40	0	4500		1	67	7	2	3	
1	0	201	2	1	1	3	2005	11	2005	11	1	1	202	2005	11	4	4	3	3	3	3	4	4																									1	4	1	3	2		2		2		2		2		3	4	2	4	3	4	5	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	2	3															4	4	4	-9	3	4	4	4	3	4	4	4	3	4	4	4	4	3	4	4	3	4	4	4	4	4	2	4	4	4	4	4	4											1	2	2	40	0	3900		2	83	7	2	5	4
1	0	321	0	1	1	1	1993	2	2012	1	1	6	306	2014	9	2	2	2	2	1	1	1	1	1	2	2	3	3	3	2	4	3	3	3	3	3	2	2	2	1	4	2	2	4				1	3	2		1	2	2		2		2		2		3	3	3	4	3	3	3	3	4	2		2		1	2	2		1	2	1	2	1	3	2		2		2		2		2		2		2		2		1				2								2	2	1	5	5	4	4	4	4									2	2	3	2	3	4	3	3	1	3	3	1	3	3	4	3	3	2	3	3	3	1	3	2	3	3	2	5	3	4	4	2	3											1		2	40	1	7200		1	66	4	2	6	3
1	0	321	1	1	1	3	2012	4	2012	4	1	1	306	2012	4	2	2	2	2	2	2	3	3																									1	3	2		2		2		2		2		2		3	2	2	3	3	4	3	1	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		3				2								2	3	3															1	1	1	1	3	1	1	3	2	3	2	1	1	3	4	3	3	2	4	2	3	1	2	3	3	2	4	4	3	2	2	3	4											1	2	2	40	20	4500		1	82	3	1	6	3
1	0	322	0	1	1	1	1992	8	2011	1	1	5	302	2009	4	4	4	4	4	4	3	4	4	3	3	3	3	4	4	3	3	4	4	4	3	3	4	4	4	3	3	3	3	3				1	3	1	3	2		2		2		2		2		3	3	3	3	4	4	4	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	2	1	4	4	4	4	4	4									3	3	3	3	3	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	3	4	2	2	2											1		2	40	0	6000		1	68	7	2	7	1
1	0	322	1	1	1	3	2013	7	2013	7	1	1	306	2013	7	3	3	3	3	3	3	3	3																									1	3	1	3	2		2		2		2		2		3	4	3	3	4	4	4	1	3	2		2		2		2		1	1	1	1	2		2		2		2		2		2		2		2		2		3				2								2	2	1															2	2	2	2	2	3	4	3	2	2	2	2	2	3	3	3	3	2	3	2	2	2	3	2	3	3	4	2	2	2	4	4	2											1	2	2	40	0	2900		2	86	11	2	6	1
1	0	322	2	1	1	3	1997	2	1997	2	1	1	303	2002	2	4	4	4	4	4	4	4	4																									1	1	2		2		2		2		2		2		3	1	1	4	1	4	4	1	4	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				1	1	3030	19	1995	2	3	3	2	2	1															1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	3	4	3	3	2	5	5	5											1	2	2	40	0	4400		2	78	7	1	7	1
